#{"t_start": 1776233236.5888731, "env_id": "None"}
r,l,t
5.87708,12,40.098481
4.314678,12,40.15388
6.125723,12,40.208704
5.611121,12,40.260172
4.842062,12,40.309689
5.128007,12,40.360609
5.17791,12,40.412217
5.738905,12,40.462217
5.721118,12,40.511413
5.490364,12,40.561028
4.843717,12,40.616263
5.627799,12,40.670873
5.495819,12,40.723726
5.539055,12,40.773737
4.119177,12,40.820435
6.114224,12,40.875445
5.579709,12,40.926254
5.013063,12,40.984731
5.963501,12,41.033814
4.669077,12,41.086487
6.699981,12,41.129439
5.113927,12,41.179079
5.810621,12,41.231109
4.692285,12,41.285839
5.804182,12,41.333842
5.228595,12,41.38743
4.155038,12,41.436509
4.604723,12,41.488969
4.729912,12,41.536581
4.193533,12,41.588032
5.295087,12,41.650871
6.573825,12,42.368395
5.592862,12,42.416377
5.075886,12,42.473397
6.052461,12,42.524912
6.366668,12,42.572559
4.077141,12,42.620327
4.800532,12,42.67659
5.183499,12,42.7374
4.595295,12,42.795951
5.834757,12,42.849835
5.476268,12,42.906694
4.562684,12,42.958694
4.942487,12,43.019048
6.397238,12,43.070055
4.455524,12,43.123109
4.350427,12,43.177225
4.570207,12,43.237364
4.086882,12,43.288468
5.514972,12,43.340724
6.171559,12,43.390478
6.361956,12,43.450545
5.736696,12,43.506681
5.317881,12,43.566881
4.975696,12,43.641706
4.78848,12,43.728581
5.254391,12,43.797923
4.883183,12,43.848058
5.271742,12,43.900789
4.369668,12,43.948958
5.839492,12,44.003497
5.357091,12,44.050944
5.309643,12,44.110153
3.867364,12,44.16116
4.831044,12,44.221339
4.956253,12,44.277392
5.859905,12,44.333233
6.180487,12,44.401654
5.237272,12,44.465371
5.032253,12,44.523504
5.653003,12,44.572151
4.874027,12,44.639076
5.900283,12,44.695588
4.709917,12,44.74253
4.892103,12,45.456753
4.680562,12,45.513088
6.57943,12,45.562198
5.495813,12,45.616081
6.433276,12,45.663169
5.973362,12,45.719313
5.779383,12,45.77324
5.533211,12,45.822212
5.079713,12,45.874897
4.739758,12,45.933717
5.332723,12,45.988835
5.851831,12,46.033349
6.328084,12,46.084438
5.109994,12,46.144346
4.848933,12,46.202355
5.995946,12,46.260718
5.020074,12,46.316937
6.610718,12,46.371037
5.322401,12,46.417638
5.636809,12,46.468544
5.203069,12,46.515281
5.400133,12,46.563191
5.115215,12,46.612037
4.946864,12,46.665333
6.316287,12,46.736053
5.173214,12,46.805532
4.968684,12,46.869284
5.428041,12,46.926277
6.003527,12,46.989744
5.386787,12,47.050883
5.688764,12,47.104952
4.720578,12,47.168661
4.734069,12,47.224381
6.282865,12,47.276768
4.363628,12,47.325498
4.696677,12,47.379687
4.839959,12,47.433783
6.308841,12,47.48804
4.448279,12,47.534643
4.799851,12,47.586566
6.456419,12,47.634081
4.582152,12,47.687703
5.423726,12,47.740412
6.084287,12,48.434099
6.08078,12,48.486196
5.326975,12,48.535932
5.716711,12,48.592629
6.666486,12,48.652734
5.747161,12,48.72342
5.771553,12,48.793138
6.164385,12,48.84128
4.464091,12,48.893363
6.394295,12,48.949082
5.591812,12,49.024111
6.580913,12,49.085099
5.590897,12,49.15221
5.81851,12,49.22521
4.409739,12,49.283534
5.284946,12,49.339047
4.606811,12,49.397641
5.50033,12,49.466716
5.190893,12,49.524504
5.578477,12,49.579415
4.924128,12,49.626023
5.704161,12,49.684046
5.841467,12,49.7328
5.361523,12,49.786911
5.327904,12,49.848587
4.664,12,49.899399
4.495679,12,49.957395
4.386031,12,50.044371
5.735865,12,50.17641
6.087609,12,50.31755
6.254536,12,50.410276
5.152306,12,50.486487
5.723333,12,50.560087
4.075439,12,50.627015
4.598665,12,50.691086
6.213512,12,50.775072
3.529946,12,50.846773
4.309232,12,50.909679
5.263366,12,50.98067
5.563661,12,51.040132
5.37933,12,51.085315
4.891938,12,51.144087
5.691164,12,51.930435
5.78715,12,52.005334
5.094088,12,52.058389
4.855072,12,52.111216
6.086944,12,52.193266
5.942133,12,52.254005
5.47081,12,52.315502
5.778197,12,52.364494
5.043535,12,52.420371
6.267043,12,52.469375
4.684875,12,52.521899
4.970734,12,52.570191
6.49037,12,52.611889
4.494149,12,52.660891
4.25407,12,52.723732
5.330211,12,52.782667
5.892928,12,52.84445
6.120954,12,52.896477
5.165031,12,52.948093
5.267241,12,53.001221
6.152443,12,53.060048
5.465246,12,53.119874
5.243116,12,53.182887
5.274481,12,53.233648
5.945931,12,53.283654
3.980228,12,53.338537
5.595802,12,53.392652
5.910753,12,53.438387
5.340914,12,53.496313
6.91144,12,53.543819
5.269979,12,53.608622
4.160716,12,53.665573
5.404273,12,53.718011
4.572539,12,53.781604
5.097055,12,53.831772
5.996626,12,53.887887
5.558951,12,53.944172
4.85004,12,53.992222
4.839654,12,54.043903
5.510055,12,54.096425
4.666132,12,54.149947
3.545015,12,54.201347
5.141304,12,54.256881
6.308606,12,54.920799
5.8787,12,54.976368
4.842502,12,55.029902
4.835793,12,55.103097
5.180921,12,55.177598
5.268764,12,55.251518
4.638632,12,55.299331
4.631658,12,55.347634
5.048374,12,55.39624
5.398741,12,55.446302
5.968227,12,55.506424
5.705886,12,55.559256
5.913153,12,55.611488
4.042465,12,55.657081
6.237469,12,55.703543
6.218965,12,55.751121
5.12208,12,55.801095
5.021031,12,55.844424
6.348287,12,55.910702
5.677525,12,55.977025
3.648047,12,56.02872
4.410802,12,56.088381
5.251666,12,56.145919
6.214776,12,56.195399
6.615523,12,56.242627
4.446948,12,56.296686
4.596474,12,56.340392
5.522733,12,56.387006
5.690651,12,56.438088
6.520937,12,56.487961
5.322752,12,56.541989
6.037374,12,56.587731
5.43853,12,56.638973
6.312378,12,56.685219
4.853579,12,56.736301
6.230131,12,56.790986
4.349894,12,56.838757
5.070659,12,56.887273
5.17107,12,56.939358
4.897972,12,56.990721
6.126461,12,57.038523
6.089521,12,57.092297
4.294771,12,57.138673
5.179741,12,57.784924
5.485136,12,57.834436
5.399249,12,57.883446
6.040529,12,57.938795
5.003217,12,57.995232
5.824299,12,58.055684
5.116433,12,58.105553
5.803645,12,58.166893
4.797244,12,58.236076
6.182449,12,58.294041
4.809177,12,58.350949
6.330158,12,58.405643
6.184598,12,58.461312
4.381233,12,58.508016
5.991813,12,58.561698
5.731674,12,58.613923
4.523155,12,58.667055
5.612954,12,58.714885
6.002806,12,58.767073
5.639735,12,58.825201
6.148215,12,58.872735
5.325534,12,58.917702
5.542266,12,58.986703
3.450987,12,59.040805
4.771656,12,59.097123
6.158829,12,59.149888
4.464589,12,59.21618
4.122202,12,59.267608
5.303373,12,59.326024
5.424853,12,59.372087
3.689732,12,59.422586
5.440341,12,59.471586
6.999672,12,59.520614
5.41355,12,59.569439
5.769702,12,59.620188
6.382867,12,59.6674
4.606678,12,59.717871
4.277287,12,59.768884
4.743707,12,59.82636
5.408784,12,59.884864
6.609769,12,59.947575
5.026926,12,60.005626
4.414484,12,60.684589
6.318435,12,60.745671
5.30262,12,60.802682
6.048805,12,60.869946
5.306689,12,60.92276
4.910347,12,60.982613
6.466535,12,61.038851
