#{"t_start": 1775802262.372729, "env_id": "None"}
r,l,t
9.03896,12,19.304003
7.916366,12,19.334002
9.173564,12,19.365009
9.215773,12,19.394519
7.037925,12,19.425515
8.788616,12,19.458517
7.461419,12,19.488197
8.093965,12,19.520215
7.903352,12,19.550196
8.981182,12,19.580585
8.815756,12,19.610583
8.823989,12,19.640584
8.045257,12,19.670589
6.626706,12,19.700101
9.715969,12,19.731105
9.930184,12,19.770138
7.885271,12,19.800833
8.372763,12,19.830828
9.073693,12,19.860831
8.609994,12,19.895379
8.050926,12,19.934451
7.875675,12,19.971377
9.081209,12,20.009065
9.14902,12,20.040891
8.363174,12,20.078298
8.243192,12,20.110821
8.178112,12,20.143921
8.137321,12,20.178335
9.09409,12,20.213334
8.316825,12,20.243333
7.998156,12,20.272348
9.212089,12,20.301868
7.62967,12,20.333871
9.036084,12,20.36387
8.320761,12,20.393387
7.875896,12,20.422391
7.920256,12,20.455394
8.572739,12,20.492007
7.085726,12,20.524012
8.655046,12,20.555252
6.651633,12,20.587935
8.642144,12,20.955039
8.250623,12,20.99177
8.702034,12,21.027225
8.299978,12,21.060102
7.996207,12,21.090726
8.824595,12,21.120865
7.250759,12,21.152865
7.950906,12,21.183409
8.083426,12,21.21741
8.434027,12,21.252408
7.7493,12,21.285183
7.58085,12,21.31748
7.777443,12,21.348733
7.867531,12,21.384642
8.124384,12,21.417641
8.184027,12,21.450645
7.890861,12,21.488176
8.153489,12,21.53016
7.610524,12,21.575173
7.469139,12,21.624685
7.952671,12,21.656685
9.771188,12,21.701812
8.668627,12,21.732811
8.304467,12,21.764818
8.898353,12,21.795766
8.034409,12,21.831747
8.189026,12,21.861748
7.718161,12,21.891259
6.557703,12,21.925264
7.456035,12,21.963266
7.887742,12,21.993784
8.237103,12,22.023779
9.561037,12,22.058775
7.253372,12,22.09038
7.656335,12,22.139918
9.707193,12,22.171926
9.235214,12,22.203546
8.489421,12,22.245447
8.899563,12,22.277066
9.084989,12,22.309072
7.891251,12,22.340072
8.728883,12,22.376077
7.903901,12,22.410713
6.667027,12,22.735171
9.046939,12,22.765176
7.925339,12,22.795232
10.122409,12,22.826232
8.585877,12,22.855231
8.720036,12,22.885279
8.48091,12,22.91728
7.518135,12,22.94743
8.780822,12,22.977434
9.133569,12,23.010516
8.980075,12,23.052137
8.271354,12,23.089331
8.828428,12,23.123605
8.22174,12,23.155745
7.751325,12,23.189181
8.254751,12,23.218182
7.748969,12,23.248182
9.098535,12,23.278048
7.926169,12,23.314052
8.749859,12,23.350175
9.401142,12,23.379707
8.600421,12,23.410702
9.05981,12,23.447705
8.394336,12,23.476802
8.164341,12,23.511335
7.592836,12,23.543316
9.128119,12,23.573415
8.207666,12,23.603152
7.986124,12,23.633152
8.972159,12,23.663154
9.279335,12,23.694164
8.251655,12,23.729256
7.729613,12,23.758164
8.706003,12,23.788671
9.326657,12,23.817673
9.392725,12,23.852677
9.541603,12,23.883197
7.977365,12,23.913199
8.300135,12,23.950196
7.415593,12,23.979716
7.357881,12,24.008714
8.630232,12,24.038709
8.45547,12,24.074892
7.862792,12,24.401596
8.478836,12,24.433593
7.311941,12,24.463593
8.912243,12,24.492108
8.940466,12,24.522104
8.955632,12,24.553123
8.571066,12,24.582649
7.886508,12,24.612644
9.457248,12,24.643731
8.853943,12,24.676654
8.43724,12,24.710168
8.006239,12,24.739166
8.311982,12,24.770793
7.99632,12,24.800305
8.645552,12,24.830323
7.060999,12,24.861301
8.857783,12,24.899914
8.500821,12,24.938818
8.304861,12,24.969828
9.318197,12,25.000343
8.919207,12,25.029343
8.964484,12,25.058347
7.394071,12,25.088068
8.199609,12,25.118171
9.495446,12,25.148631
7.416807,12,25.178731
9.140895,12,25.208551
9.187883,12,25.244194
9.019114,12,25.276226
8.624539,12,25.320631
9.430665,12,25.352782
8.68338,12,25.382357
9.077249,12,25.418375
7.900829,12,25.448357
7.935018,12,25.481746
7.980482,12,25.511743
7.317207,12,25.540742
9.291907,12,25.578799
7.497537,12,25.612333
8.738787,12,25.64241
8.121667,12,25.674364
8.183078,12,25.702997
8.201081,12,26.018403
8.100844,12,26.051399
8.838561,12,26.089159
7.930398,12,26.13016
7.833723,12,26.167172
8.198326,12,26.20271
8.920801,12,26.233691
8.027298,12,26.26571
8.028355,12,26.29522
8.293369,12,26.327238
8.743653,12,26.35622
8.733232,12,26.385773
7.692464,12,26.41758
6.721323,12,26.454527
8.54362,12,26.485054
8.634947,12,26.51805
9.191064,12,26.548049
7.812263,12,26.579154
8.544197,12,26.608784
9.099281,12,26.645779
7.882902,12,26.676792
8.936043,12,26.707306
8.459032,12,26.73983
8.166121,12,26.768831
8.475149,12,26.812633
8.53906,12,26.842628
7.412328,12,26.872635
7.858135,12,26.903241
7.752187,12,26.93534
7.770046,12,26.96434
7.961969,12,26.994774
9.095192,12,27.025342
8.939543,12,27.062342
7.250307,12,27.098485
7.762342,12,27.180232
8.346031,12,27.240861
8.568619,12,27.313984
8.506756,12,27.387052
8.728918,12,27.442585
8.505947,12,27.490478
7.748657,12,27.531555
8.641956,12,27.567564
7.983783,12,27.613085
10.095189,12,27.989053
8.593771,12,28.035141
9.259189,12,28.08008
9.263101,12,28.132267
8.957127,12,28.176667
8.308564,12,28.220282
9.524013,12,28.268283
8.147102,12,28.311414
8.204637,12,28.354527
8.750414,12,28.397202
7.101624,12,28.43235
9.201056,12,28.461349
9.896849,12,28.488382
8.917971,12,28.516395
8.18031,12,28.55038
8.785846,12,28.577392
9.010734,12,28.608914
8.165934,12,28.637932
8.879325,12,28.664925
9.217507,12,28.692463
6.97177,12,28.721462
8.10831,12,28.747856
8.146606,12,28.775891
8.822976,12,28.804565
8.668876,12,28.831641
8.001425,12,28.860635
9.619382,12,28.888396
8.980503,12,28.922296
8.254048,12,28.952373
8.20633,12,28.981547
7.579701,12,29.010079
7.966864,12,29.038059
8.098271,12,29.067184
8.705328,12,29.098965
7.871941,12,29.140207
8.85272,12,29.174309
7.927417,12,29.200988
7.64538,12,29.232363
8.510399,12,29.259413
8.808841,12,29.292156
8.403796,12,29.326157
9.121525,12,29.360452
8.478471,12,29.42898
9.602235,12,29.771169
8.970925,12,29.798696
9.360583,12,29.824693
8.505813,12,29.853709
8.420472,12,29.882798
8.345314,12,29.911401
8.454488,12,29.939404
9.12585,12,29.9684
8.000372,12,29.995924
7.427933,12,30.023018
7.861488,12,30.054019
7.71696,12,30.084025
7.725727,12,30.112536
9.610132,12,30.141535
7.41918,12,30.170912
9.079552,12,30.21838
8.699043,12,30.258382
9.1087,12,30.304278
8.339079,12,30.334282
8.002312,12,30.363282
9.332067,12,30.399803
9.495773,12,30.430803
8.554301,12,30.46283
9.608065,12,30.500344
9.123972,12,30.535361
8.712306,12,30.567513
9.798602,12,30.611025
8.73293,12,30.641026
9.374639,12,30.676026
10.378121,12,30.707535
8.781068,12,30.739539
8.291682,12,30.775541
8.347987,12,30.806058
6.184886,12,30.837059
9.071947,12,30.867064
8.365923,12,30.898574
8.982896,12,30.930573
8.10608,12,30.963174
8.940662,12,30.996755
9.083947,12,31.030756
8.459481,12,31.064056
7.555672,12,31.108696
9.4238,12,31.513887
8.279146,12,31.563888
8.650603,12,31.608594
9.81454,12,31.642596
7.991667,12,31.680618
7.3983,12,31.713212
8.243343,12,31.745285
8.075457,12,31.780992
8.599275,12,31.813233
8.416238,12,31.84535
9.280213,12,31.873353
9.49628,12,31.901874
8.52384,12,31.929877
9.000475,12,31.957873
9.519952,12,31.989418
8.945569,12,32.031522
8.793136,12,32.061421
8.1214,12,32.090257
8.282281,12,32.123352
9.317681,12,32.151254
8.432447,12,32.179279
8.691249,12,32.212887
8.387992,12,32.240891
8.758437,12,32.268891
8.059779,12,32.297426
9.111343,12,32.323408
8.87749,12,32.36341
8.680725,12,32.407107
8.398929,12,32.436107
9.268523,12,32.464902
9.269401,12,32.496068
8.34891,12,32.524068
7.285057,12,32.551068
9.40858,12,32.585069
8.521337,12,32.614105
8.613245,12,32.647194
7.85608,12,32.675103
8.401814,12,32.702224
9.858335,12,32.732238
9.012823,12,32.76037
7.698104,12,32.790703
8.941096,12,32.81772
8.590695,12,32.845699
8.897356,12,33.164186
7.980073,12,33.192701
8.823455,12,33.220703
8.976692,12,33.248716
9.164406,12,33.275706
9.314921,12,33.30421
7.719367,12,33.33121
8.822522,12,33.358725
8.215384,12,33.386732
8.914506,12,33.426338
8.495391,12,33.455245
8.088855,12,33.48426
8.582303,12,33.513775
9.494118,12,33.543776
10.151313,12,33.585797
8.537428,12,33.614399
9.78156,12,33.643317
8.494299,12,33.672312
10.029269,12,33.702839
10.163348,12,33.731073
7.377024,12,33.760072
8.506245,12,33.7896
9.180247,12,33.818595
8.448334,12,33.847594
10.387753,12,33.880946
7.828262,12,33.911065
8.787837,12,33.95208
7.658942,12,33.98565
9.730104,12,34.015917
9.483656,12,34.044922
8.272485,12,34.073923
9.540403,12,34.103448
8.338997,12,34.132444
9.416002,12,34.161443
9.974332,12,34.190953
8.907761,12,34.228502
8.926799,12,34.256503
7.941793,12,34.285507
9.26081,12,34.321017
8.977559,12,34.357017
8.328325,12,34.387024
8.637458,12,34.421623
8.903295,12,34.453044
8.267498,12,34.845133
9.870942,12,34.893769
8.348242,12,34.948825
9.489403,12,35.000351
8.461914,12,35.048349
7.102077,12,35.089885
8.290143,12,35.135894
10.125367,12,35.179898
9.016918,12,35.229488
7.950287,12,35.274473
7.431646,12,35.319695
8.64681,12,35.361695
7.877246,12,35.415082
8.28997,12,35.458081
9.521639,12,35.506346
7.832631,12,35.540348
7.97264,12,35.568347
8.726685,12,35.594861
8.866399,12,35.630142
8.778138,12,35.656142
9.748993,12,35.691765
7.883191,12,35.718769
8.437543,12,35.744764
8.592218,12,35.771025
9.291254,12,35.79854
8.542846,12,35.825539
9.313228,12,35.85554
8.721287,12,35.882554
8.571076,12,35.90907
8.4248,12,35.942549
9.523733,12,35.96955
7.377395,12,35.996076
8.398997,12,36.026073
8.365149,12,36.057219
9.660723,12,36.090284
10.069415,12,36.122124
9.361017,12,36.151444
9.399843,12,36.178918
9.269977,12,36.206736
9.820442,12,36.235718
7.146539,12,36.262717
8.028098,12,36.290584
8.088902,12,36.633854
8.036115,12,36.668367
7.453724,12,36.707365
9.079243,12,36.741289
8.754636,12,36.781325
8.920379,12,36.821942
9.181649,12,36.856399
9.05133,12,36.888438
8.522716,12,36.914939
7.709178,12,36.942951
8.662509,12,36.970428
9.239877,12,36.997684
8.089011,12,37.042796
7.827723,12,37.086889
8.86478,12,37.114426
8.244438,12,37.143446
9.132948,12,37.182482
9.359245,12,37.208074
8.696818,12,37.235667
7.94347,12,37.264683
7.963738,12,37.291461
8.494865,12,37.318576
8.614532,12,37.345561
7.719718,12,37.379504
7.451311,12,37.409
8.20856,12,37.437249
7.667609,12,37.465343
9.629921,12,37.492714
8.97934,12,37.519618
8.734412,12,37.546708
9.608829,12,37.590621
8.833107,12,37.621799
8.064793,12,37.653799
8.413482,12,37.680973
9.269605,12,37.708587
7.138513,12,37.736737
9.348599,12,37.77172
8.621783,12,37.799238
8.5175,12,37.827551
10.415547,12,37.85555
9.113557,12,37.887655
8.268078,12,37.919349
8.739431,12,37.948499
9.510944,12,38.280733
8.320225,12,38.314877
9.039195,12,38.344487
8.899709,12,38.373487
8.02384,12,38.402281
10.200493,12,38.434274
8.24744,12,38.473204
9.174416,12,38.503016
8.502095,12,38.531921
9.660927,12,38.560918
8.520339,12,38.591969
7.544119,12,38.621653
8.124163,12,38.657652
8.842969,12,38.688679
8.823877,12,38.721302
7.821821,12,38.751193
9.332661,12,38.787228
8.846132,12,38.816722
8.022374,12,38.845749
8.09256,12,38.875735
8.32997,12,38.90537
8.707305,12,38.939366
8.46778,12,38.968276
8.967597,12,38.99693
7.938915,12,39.026836
8.8696,12,39.055836
8.356044,12,39.086061
8.717995,12,39.114574
9.206367,12,39.14257
7.808353,12,39.171573
8.9165,12,39.201102
9.26636,12,39.238114
9.608016,12,39.279104
8.098277,12,39.313938
9.634869,12,39.343841
8.802523,12,39.371845
9.117046,12,39.402973
9.337994,12,39.440973
8.814285,12,39.480094
8.434289,12,39.508543
7.90542,12,39.536542
8.654424,12,39.568546
9.320974,12,39.606988
9.151693,12,39.93285
8.582779,12,39.963838
7.213557,12,39.993027
8.196961,12,40.02763
8.170006,12,40.060648
9.646306,12,40.089731
9.102412,12,40.11934
9.377416,12,40.150247
8.697254,12,40.183247
9.227042,12,40.214795
8.369342,12,40.245797
9.652578,12,40.277809
8.07908,12,40.309319
8.091757,12,40.339466
9.17483,12,40.381117
7.713695,12,40.413678
9.290694,12,40.455984
8.504822,12,40.488477
8.982667,12,40.520108
9.303293,12,40.551007
9.405962,12,40.581214
8.551363,12,40.611812
9.833063,12,40.640908
9.023966,12,40.670909
7.994338,12,40.700732
9.886416,12,40.731618
9.496191,12,40.762366
9.91122,12,40.793383
9.361371,12,40.823915
9.14016,12,40.855008
8.141941,12,40.885926
8.205095,12,40.916432
8.859706,12,40.952526
8.549373,12,40.983437
8.73159,12,41.01396
7.09531,12,41.045032
10.129322,12,41.080947
9.281463,12,41.118516
9.41141,12,41.149601
7.743272,12,41.183515
9.605235,12,41.213084
9.096587,12,41.24307
10.172084,12,41.551641
8.401165,12,41.585646
7.791266,12,41.621426
9.071996,12,41.655332
7.538364,12,41.685337
