episode,total_timesteps,episode_length,episode_reward,rolling_mean_reward,elapsed_seconds
241,2892,12,7.705336,8.349022,13.447426
242,2904,12,8.791691,8.386965,13.479062
243,2916,12,7.724250,8.349567,13.513607
244,2928,12,8.382829,8.359524,13.541602
245,2940,12,8.683028,8.398096,13.571105
246,2952,12,9.021826,8.435066,13.599105
247,2964,12,7.845619,8.424617,13.630105
248,2976,12,8.696044,8.424930,13.659507
249,2988,12,8.264668,8.375280,13.687037
250,3000,12,9.154429,8.443522,13.728139
251,3012,12,8.998632,8.460135,13.759126
252,3024,12,8.945588,8.512025,13.790670
253,3036,12,8.381495,8.498697,13.818769
254,3048,12,9.235622,8.510783,13.853769
255,3060,12,7.051051,8.470259,13.885300
256,3072,12,7.347893,8.445424,13.913287
257,3084,12,7.252307,8.418318,14.242151
258,3096,12,7.610097,8.373402,14.273765
259,3108,12,8.118244,8.338614,14.301769
260,3120,12,8.659648,8.357656,14.329852
261,3132,12,7.232528,8.255282,14.357769
262,3144,12,8.711655,8.263136,14.393177
263,3156,12,9.712122,8.282338,14.430828
264,3168,12,7.469662,8.235876,14.468577
265,3180,12,8.282479,8.291150,14.503051
266,3192,12,9.123194,8.347864,14.534202
267,3204,12,8.809855,8.348591,14.564210
268,3216,12,7.704322,8.347793,14.594728
269,3228,12,8.459944,8.350878,14.626726
270,3240,12,7.966778,8.322228,14.656728
271,3252,12,8.410834,8.297788,14.687257
272,3264,12,7.904674,8.300151,14.721335
273,3276,12,7.552224,8.254398,14.756086
274,3288,12,9.403301,8.299943,14.796170
275,3300,12,8.221155,8.262612,14.831219
276,3312,12,7.980938,8.221904,14.863019
277,3324,12,8.404990,8.200280,14.894377
278,3336,12,7.441854,8.162695,14.934375
279,3348,12,7.695973,8.101109,14.967937
280,3360,12,7.920299,8.135879,15.003312
281,3372,12,7.816667,8.154630,15.040576
282,3384,12,9.221096,8.233381,15.074102
283,3396,12,7.909707,8.245366,15.106097
284,3408,12,8.253793,8.250788,15.136330
285,3420,12,6.676244,8.171452,15.175652
286,3432,12,7.877478,8.197250,15.205653
287,3444,12,8.094981,8.172583,15.237155
288,3456,12,7.363656,8.078644,15.268157
289,3468,12,9.786091,8.171301,15.304691
290,3480,12,7.539738,8.141591,15.334693
291,3492,12,7.935740,8.094093,15.363718
292,3504,12,6.971727,8.020568,15.394232
293,3516,12,8.334669,8.045782,15.428227
294,3528,12,10.156020,8.113625,15.465333
295,3540,12,7.760778,8.105385,15.495846
296,3552,12,9.277698,8.140060,15.533062
297,3564,12,7.955974,8.142112,15.564968
298,3576,12,8.530475,8.181242,15.598567
299,3588,12,8.773940,8.156067,15.935124
300,3600,12,6.899147,8.103187,15.968044
301,3612,12,8.050191,8.105957,15.998558
302,3624,12,8.606603,8.114022,16.030784
303,3636,12,7.002289,8.096439,16.068462
304,3648,12,6.894186,8.064367,16.102009
305,3660,12,8.118868,8.072310,16.132023
306,3672,12,7.778797,8.070795,16.163997
307,3684,12,8.431576,8.039215,16.199519
308,3696,12,7.480950,8.022064,16.230501
309,3708,12,6.307237,7.944202,16.261510
310,3720,12,8.695981,8.024992,16.291038
311,3732,12,7.601349,8.013946,16.321023
312,3744,12,6.526309,7.951200,16.351024
313,3756,12,8.156359,7.982908,16.386636
314,3768,12,6.650974,7.857503,16.415629
315,3780,12,7.209466,7.844292,16.450537
316,3792,12,7.640969,7.832501,16.481046
317,3804,12,7.794548,7.865414,16.511050
318,3816,12,8.164647,7.858613,16.541046
319,3828,12,9.548565,7.834315,16.571559
320,3840,12,9.181930,7.891161,16.612582
321,3852,12,7.782425,7.831350,16.652824
322,3864,12,8.540693,7.854739,16.691640
323,3876,12,8.431089,7.850764,16.726221
324,3888,12,6.453670,7.757953,16.756219
325,3900,12,7.552810,7.784099,16.786745
326,3912,12,7.927287,7.779183,16.816740
327,3924,12,8.482989,7.774239,16.847740
328,3936,12,8.676066,7.841190,16.884262
329,3948,12,7.717391,7.874118,16.914261
330,3960,12,8.199298,7.877335,16.944264
331,3972,12,8.508349,7.906517,16.974781
332,3984,12,7.224906,7.858250,17.004913
333,3996,12,8.616129,7.903657,17.035916
334,4008,12,7.258038,7.941689,17.072436
335,4020,12,8.003120,7.913975,17.111441
336,4032,12,9.512538,7.990423,17.143441
337,4044,12,8.215275,8.057981,17.174471
338,4056,12,7.013147,8.012253,17.205471
339,4068,12,7.555309,8.048426,17.236475
340,4080,12,7.719463,8.068826,17.268565
341,4092,12,7.429033,8.060349,17.297188
342,4104,12,8.392148,8.084253,17.614890
343,4116,12,8.281688,8.088934,17.643890
344,4128,12,7.964634,8.025577,17.674418
345,4140,12,7.786105,7.969744,17.704510
346,4152,12,7.189784,7.946038,17.734413
347,4164,12,9.411899,7.980887,17.771529
348,4176,12,8.051376,7.965698,17.808223
349,4188,12,9.141322,8.073204,17.837225
350,4200,12,7.713609,8.079636,17.868867
351,4212,12,6.673030,8.029466,17.900512
352,4224,12,6.731956,7.959425,17.929511
353,4236,12,8.039828,7.933975,17.958992
354,4248,12,8.385861,7.960714,17.987638
355,4260,12,7.980682,7.951969,18.025543
356,4272,12,8.961182,7.970082,18.056545
357,4284,12,8.892726,8.036795,18.089845
358,4296,12,7.937154,8.009636,18.120844
359,4308,12,9.855567,8.113537,18.154849
360,4320,12,8.396214,8.129261,18.185940
361,4332,12,8.638072,8.094283,18.216588
362,4344,12,8.507744,8.105981,18.246592
363,4356,12,8.714468,8.174034,18.277185
364,4368,12,7.985936,8.191259,18.306190
365,4380,12,7.088377,8.166016,18.336679
366,4392,12,6.488313,8.128387,18.365686
367,4404,12,8.152169,8.118788,18.401297
368,4416,12,8.004973,8.107719,18.431211
369,4428,12,8.991751,8.148804,18.461218
370,4440,12,6.944738,8.115149,18.491737
371,4452,12,8.249115,8.157522,18.520739
372,4464,12,8.967585,8.139750,18.551735
373,4476,12,8.461983,8.156174,18.582249
374,4488,12,10.314401,8.203097,18.613245
375,4500,12,8.155451,8.220771,18.643552
376,4512,12,8.740589,8.303473,18.673555
377,4524,12,8.407458,8.370493,18.703690
378,4536,12,7.010628,8.329325,18.741191
379,4548,12,6.140226,8.239500,18.783880
380,4560,12,7.749672,8.230260,18.817998
381,4572,12,8.199557,8.199795,18.852875
382,4584,12,8.154234,8.170255,18.883588
383,4596,12,7.158592,8.139113,18.914993
384,4608,12,7.975144,8.063896,18.950900
385,4620,12,8.213314,8.056580,19.272489
386,4632,12,9.038960,8.072615,19.304003
387,4644,12,7.916366,8.048960,19.334002
388,4656,12,9.173564,8.067324,19.365009
389,4668,12,9.215773,8.116517,19.394519
390,4680,12,7.037925,8.114499,19.425515
391,4692,12,8.788616,8.206511,19.458517
392,4704,12,7.461419,8.178881,19.488197
393,4716,12,8.093965,8.182441,19.520215
394,4728,12,7.903352,8.138905,19.550196
395,4740,12,8.981182,8.220363,19.580585
396,4752,12,8.815756,8.243028,19.610583
397,4764,12,8.823989,8.237285,19.640584
398,4776,12,8.045257,8.220616,19.670589
399,4788,12,6.626706,8.073108,19.700101
400,4800,12,9.715969,8.135529,19.731105
401,4812,12,9.930184,8.183112,19.770138
402,4824,12,7.885271,8.162225,19.800833
403,4836,12,8.372763,8.216710,19.830828
404,4848,12,9.073693,8.334049,19.860831
405,4860,12,8.609994,8.368462,19.895379
406,4872,12,8.050926,8.362517,19.934451
407,4884,12,7.875675,8.351374,19.971377
408,4896,12,9.081209,8.428279,20.009065
409,4908,12,9.149020,8.475234,20.040891
410,4920,12,8.363174,8.481228,20.078298
411,4932,12,8.243192,8.449398,20.110821
412,4944,12,8.178112,8.459867,20.143921
413,4956,12,8.137321,8.418418,20.178335
414,4968,12,9.094090,8.413550,20.213334
415,4980,12,8.316825,8.464706,20.243333
416,4992,12,7.998156,8.433088,20.272348
417,5004,12,9.212089,8.503115,20.301868
418,5016,12,7.629670,8.484543,20.333871
419,5028,12,9.036084,8.529852,20.363870
420,5040,12,8.320761,8.503435,20.393387
421,5052,12,7.875896,8.465841,20.422391
422,5064,12,7.920256,8.429692,20.455394
423,5076,12,8.572739,8.450791,20.492007
424,5088,12,7.085726,8.469152,20.524012
425,5100,12,8.655046,8.426715,20.555252
426,5112,12,6.651633,8.295573,20.587935
427,5124,12,8.642144,8.325848,20.955039
428,5136,12,8.250623,8.320962,20.991770
429,5148,12,8.702034,8.306096,21.027225
430,5160,12,8.299978,8.293695,21.060102
431,5172,12,7.996207,8.291506,21.090726
432,5184,12,8.824595,8.329463,21.120865
433,5196,12,7.250759,8.256245,21.152865
434,5208,12,7.950906,8.208321,21.183409
435,5220,12,8.083426,8.197131,21.217410
436,5232,12,8.434027,8.204764,21.252408
437,5244,12,7.749300,8.187612,21.285183
438,5256,12,7.580850,8.165353,21.317480
439,5268,12,7.777443,8.112687,21.348733
440,5280,12,7.867531,8.094715,21.384642
441,5292,12,8.124384,8.099764,21.417641
442,5304,12,8.184027,8.058642,21.450645
443,5316,12,7.890861,8.069089,21.488176
444,5328,12,8.153489,8.033786,21.530160
445,5340,12,7.610524,8.005376,21.575173
446,5352,12,7.469139,7.989106,21.624685
447,5364,12,7.952671,7.990402,21.656685
448,5376,12,9.771188,8.038340,21.701812
449,5388,12,8.668627,8.101656,21.732811
450,5400,12,8.304467,8.087633,21.764818
451,5412,12,8.898353,8.177502,21.795766
452,5424,12,8.034409,8.153193,21.831747
453,5436,12,8.189026,8.150729,21.861748
454,5448,12,7.718161,8.111374,21.891259
455,5460,12,6.557703,8.041683,21.925264
456,5472,12,7.456035,8.020076,21.963266
457,5484,12,7.887742,7.982602,21.993784
